%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021JUN10,,,,,,,,,
%Orient PCB _TBD___,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: S,,,,,,,,,
%nozzle 2 tip: ML,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
218,1,12,209.3,32.2,0,0.8,0,R283,R_0805/82
219,1,12,205.2,32.2,0,0.8,0,R284,R_0805/82
220,1,12,201.1,32.2,0,0.8,0,R285,R_0805/82
221,1,12,197,32.2,0,0.8,0,R286,R_0805/82
222,1,12,192.9,32.2,0,0.8,0,R287,R_0805/82
223,1,12,188.8,32.2,0,0.8,0,R288,R_0805/82
224,1,12,184.7,32.2,0,0.8,0,R289,R_0805/82
225,1,12,180.7,32.2,0,0.8,0,R290,R_0805/82
226,1,12,239.65,43.3,0,0.8,0,R303,R_0805/82
227,1,12,261.9,42.3,0,0.8,0,R304,R_0805/82
228,1,12,118.15,109.3,0,0.8,0,R316,R_0805/82
229,1,12,120.65,109.3,0,0.8,0,R317,R_0805/82
230,1,12,120.65,113.3,0,0.8,0,R50,R_0805/82
231,1,12,118.15,113.3,0,0.8,0,R53,R_0805/82
232,1,12,26.4,126.8,90,0.8,0,R95,R_0805/82
233,1,12,38.4,126.8,90,0.8,0,R96,R_0805/82
234,1,12,38.4,129.3,90,0.8,0,R97,R_0805/82
235,1,12,38.41,131.8,90,0.8,0,R98,R_0805/82
236,1,12,38.41,134.3,90,0.8,0,R99,R_0805/82
237,1,2,335.9,13.3,90,0.8,0,R130,R_0805/100k
238,1,2,115.6,141.25,90,0.8,0,R22,R_0805/100k
239,1,2,115.6,145.7,90,0.8,0,R27,R_0805/100k
240,1,2,110.6,150,90,0.8,0,R32,R_0805/100k
241,1,2,120.4,98.05,90,0.8,0,R67,R_0805/100k
242,1,2,264.01,152,90,0.8,0,R74,R_0805/100k
243,1,2,264,154.4,90,0.8,0,R75,R_0805/100k
244,1,2,267.9,154.45,90,0.8,0,R77,R_0805/100k
245,1,2,267.9,152,90,0.8,0,R79,R_0805/100k
246,1,13,294.9,43.82,0,0.8,0,C104,C_0805/10n
247,1,13,294.95,35.57,0,0.8,0,C105,C_0805/10n
248,1,13,294.95,27.32,0,0.8,0,C106,C_0805/10n
249,1,13,264.82,55.96,90,0.8,0,C107,C_0805/10n
250,1,13,256.57,55.96,90,0.8,0,C108,C_0805/10n
251,1,13,248.57,55.96,90,0.8,0,C109,C_0805/10n
252,1,13,244.32,53.21,90,0.8,0,C110,C_0805/10n
253,1,13,294.9,39.82,0,0.8,0,C111,C_0805/10n
254,1,13,294.95,31.57,0,0.8,0,C112,C_0805/10n
255,1,13,294.95,23.07,0,0.8,0,C113,C_0805/10n
256,1,13,260.57,55.96,90,0.8,0,C114,C_0805/10n
257,1,13,252.57,55.96,90,0.8,0,C115,C_0805/10n
258,1,13,244.32,55.96,90,0.8,0,C116,C_0805/10n
259,1,13,227.8,28.8,90,0.8,0,C122,C_0805/10n
260,1,13,219.5,28.8,90,0.8,0,C123,C_0805/10n
261,1,13,211.25,28.8,90,0.8,0,C124,C_0805/10n
262,1,13,203.1,28.8,90,0.8,0,C125,C_0805/10n
263,1,13,194.9,28.8,90,0.8,0,C126,C_0805/10n
264,1,13,186.6,28.8,90,0.8,0,C127,C_0805/10n
265,1,13,180.9,25.55,0,0.8,0,C128,C_0805/10n
266,1,13,223.6,28.8,90,0.8,0,C129,C_0805/10n
267,1,13,215.35,28.8,90,0.8,0,C130,C_0805/10n
268,1,13,207.15,28.8,90,0.8,0,C131,C_0805/10n
269,1,13,199,28.8,90,0.8,0,C132,C_0805/10n
270,1,13,190.8,28.8,90,0.8,0,C133,C_0805/10n
271,1,13,182.6,28.8,90,0.8,0,C134,C_0805/10n
272,1,13,90.55,118.95,0,0.8,0,C3,C_0805/10n
273,1,13,30.4,126.8,90,0.8,0,C35,C_0805/10n
274,1,13,34.45,129.3,90,0.8,0,C36,C_0805/10n
275,1,13,34.45,134.3,90,0.8,0,C37,C_0805/10n
276,1,13,34.45,139.3,90,0.8,0,C38,C_0805/10n
277,1,13,34.45,144.3,90,0.8,0,C39,C_0805/10n
278,1,13,34.4,149.3,90,0.8,0,C40,C_0805/10n
279,1,13,38.65,154.3,90,0.8,0,C41,C_0805/10n
280,1,13,34.4,126.8,90,0.8,0,C42,C_0805/10n
281,1,13,34.45,131.8,90,0.8,0,C43,C_0805/10n
282,1,13,34.45,136.8,90,0.8,0,C44,C_0805/10n
283,1,13,34.45,141.8,90,0.8,0,C45,C_0805/10n
284,1,13,34.4,146.8,90,0.8,0,C46,C_0805/10n
285,1,13,34.4,151.8,90,0.8,0,C47,C_0805/10n
286,1,13,71.25,12.55,0,0.8,0,C57,C_0805/10n
287,1,13,71.25,20.95,0,0.8,0,C58,C_0805/10n
288,1,13,71.25,29.05,0,0.8,0,C59,C_0805/10n
289,1,13,38.45,53.55,0,0.8,0,C60,C_0805/10n
290,1,13,38.45,45.35,0,0.8,0,C61,C_0805/10n
291,1,13,38.45,37.15,0,0.8,0,C62,C_0805/10n
